lat,lon,temp-change
-45.0,112.5,0.3511963
-45.0,114.375,0.3475647
-45.0,116.25,0.34484863
-45.0,118.125,0.34487915
-45.0,120.0,0.34884644
-45.0,121.875,0.35220337
-45.0,123.75,0.3579712
-45.0,125.625,0.36471558
-45.0,127.5,0.36938477
-45.0,129.375,0.37179565
-45.0,131.25,0.36935425
-45.0,133.125,0.34506226
-45.0,135.0,0.28884888
-45.0,136.875,0.24636841
-45.0,138.75,0.2531433
-45.0,140.625,0.29260254
-45.0,142.5,0.33743286
-45.0,144.375,0.3944702
-45.0,146.25,0.47888184
-45.0,148.125,0.5385437
-45.0,150.0,0.5418396
-45.0,151.875,0.49731445
-45.0,153.75,0.45687866
-43.75,112.5,0.3527527
-43.75,114.375,0.35031128
-43.75,116.25,0.350708
-43.75,118.125,0.35424805
-43.75,120.0,0.35916138
-43.75,121.875,0.362854
-43.75,123.75,0.36965942
-43.75,125.625,0.3829956
-43.75,127.5,0.39126587
-43.75,129.375,0.39926147
-43.75,131.25,0.38998413
-43.75,133.125,0.34228516
-43.75,135.0,0.2644043
-43.75,136.875,0.23098755
-43.75,138.75,0.24905396
-43.75,140.625,0.28222656
-43.75,142.5,0.30673218
-43.75,144.375,0.38049316
-43.75,146.25,0.4441223
-43.75,148.125,0.5104065
-43.75,150.0,0.5287781
-43.75,151.875,0.49206543
-43.75,153.75,0.44921875
-42.5,112.5,0.36605835
-42.5,114.375,0.36679077
-42.5,116.25,0.36953735
-42.5,118.125,0.37539673
-42.5,120.0,0.38253784
-42.5,121.875,0.38674927
-42.5,123.75,0.3965149
-42.5,125.625,0.41400146
-42.5,127.5,0.42599487
-42.5,129.375,0.42236328
-42.5,131.25,0.39559937
-42.5,133.125,0.33538818
-42.5,135.0,0.27163696
-42.5,136.875,0.25845337
-42.5,138.75,0.27722168
-42.5,140.625,0.30014038
-42.5,142.5,0.3161621
-42.5,144.375,0.44137573
-42.5,146.25,0.43182373
-42.5,148.125,0.46377563
-42.5,150.0,0.47732544
-42.5,151.875,0.456604
-42.5,153.75,0.4267578
-41.25,112.5,0.38809204
-41.25,114.375,0.39126587
-41.25,116.25,0.39492798
-41.25,118.125,0.40222168
-41.25,120.0,0.4121399
-41.25,121.875,0.42132568
-41.25,123.75,0.43310547
-41.25,125.625,0.44662476
-41.25,127.5,0.44680786
-41.25,129.375,0.42904663
-41.25,131.25,0.39041138
-41.25,133.125,0.34317017
-41.25,135.0,0.30950928
-41.25,136.875,0.30789185
-41.25,138.75,0.31192017
-41.25,140.625,0.31625366
-41.25,142.5,0.29986572
-41.25,144.375,0.31655884
-41.25,146.25,0.36627197
-41.25,148.125,0.4260254
-41.25,150.0,0.4239502
-41.25,151.875,0.39318848
-41.25,153.75,0.4124756
-40.0,112.5,0.40124512
-40.0,114.375,0.40893555
-40.0,116.25,0.42089844
-40.0,118.125,0.43237305
-40.0,120.0,0.4432373
-40.0,121.875,0.45343018
-40.0,123.75,0.46533203
-40.0,125.625,0.46722412
-40.0,127.5,0.45477295
-40.0,129.375,0.42996216
-40.0,131.25,0.3988037
-40.0,133.125,0.37109375
-40.0,135.0,0.3511963
-40.0,136.875,0.35012817
-40.0,138.75,0.3397827
-40.0,140.625,0.342865
-40.0,142.5,0.33892822
-40.0,144.375,0.37838745
-40.0,146.25,0.37924194
-40.0,148.125,0.42803955
-40.0,150.0,0.40689087
-40.0,151.875,0.33374023
-40.0,153.75,0.39974976
-38.75,112.5,0.38735962
-38.75,114.375,0.40786743
-38.75,116.25,0.43670654
-38.75,118.125,0.45773315
-38.75,120.0,0.4772339
-38.75,121.875,0.49468994
-38.75,123.75,0.49771118
-38.75,125.625,0.48635864
-38.75,127.5,0.46270752
-38.75,129.375,0.43911743
-38.75,131.25,0.41897583
-38.75,133.125,0.39813232
-38.75,135.0,0.38339233
-38.75,136.875,0.39361572
-38.75,138.75,0.4734192
-38.75,140.625,0.5067749
-38.75,142.5,0.5223694
-38.75,144.375,0.5757446
-38.75,146.25,0.6319885
-38.75,148.125,0.55044556
-38.75,150.0,0.46206665
-38.75,151.875,0.3262329
-38.75,153.75,0.3555298
-37.5,112.5,0.42034912
-37.5,114.375,0.44015503
-37.5,116.25,0.4822693
-37.5,118.125,0.506073
-37.5,120.0,0.52685547
-37.5,121.875,0.5396118
-37.5,123.75,0.52856445
-37.5,125.625,0.5102539
-37.5,127.5,0.48529053
-37.5,129.375,0.46154785
-37.5,131.25,0.4396057
-37.5,133.125,0.41949463
-37.5,135.0,0.41348267
-37.5,136.875,0.44555664
-37.5,138.75,0.5717163
-37.5,140.625,0.6625061
-37.5,142.5,0.7053833
-37.5,144.375,0.80300903
-37.5,146.25,0.7677307
-37.5,148.125,0.63479614
-37.5,150.0,0.5305176
-37.5,151.875,0.41833496
-37.5,153.75,0.32913208
-36.25,112.5,0.4633789
-36.25,114.375,0.5305481
-36.25,116.25,0.5952759
-36.25,118.125,0.5578613
-36.25,120.0,0.57525635
-36.25,121.875,0.57180786
-36.25,123.75,0.545166
-36.25,125.625,0.5241394
-36.25,127.5,0.49987793
-36.25,129.375,0.47131348
-36.25,131.25,0.45535278
-36.25,133.125,0.4602356
-36.25,135.0,0.45419312
-36.25,136.875,0.6225281
-36.25,138.75,0.7362671
-36.25,140.625,0.7441101
-36.25,142.5,0.8022461
-36.25,144.375,0.8677368
-36.25,146.25,0.8395996
-36.25,148.125,0.7247009
-36.25,150.0,0.58688354
-36.25,151.875,0.5301819
-36.25,153.75,0.4524231
-35.0,112.5,0.5038147
-35.0,114.375,0.65148926
-35.0,116.25,0.778595
-35.0,118.125,0.7320862
-35.0,120.0,0.75775146
-35.0,121.875,0.68099976
-35.0,123.75,0.56204224
-35.0,125.625,0.542572
-35.0,127.5,0.5140991
-35.0,129.375,0.47854614
-35.0,131.25,0.4734192
-35.0,133.125,0.5468445
-35.0,135.0,0.60040283
-35.0,136.875,0.70401
-35.0,138.75,0.7449951
-35.0,140.625,0.7532959
-35.0,142.5,0.8653259
-35.0,144.375,0.9535217
-35.0,146.25,0.93356323
-35.0,148.125,0.87786865
-35.0,150.0,0.6385498
-35.0,151.875,0.6107178
-35.0,153.75,0.58551025
