lat,lon,temp-change
-44.611,121.698,0.342
-44.611,121.966,0.342
-44.611,122.234,0.342
-44.611,122.502,0.342
-44.611,122.77,0.343
-44.611,123.038,0.343
-44.611,123.306,0.344
-44.611,123.574,0.344
-44.611,123.842,0.345
-44.611,124.11,0.345
-44.611,124.378,0.346
-44.611,124.646,0.347
-44.611,124.914,0.347
-44.611,125.182,0.348
-44.611,125.45,0.349
-44.611,125.719,0.349
-44.611,125.987,0.35
-44.611,126.255,0.351
-44.611,126.523,0.351
-44.611,126.791,0.352
-44.611,127.059,0.353
-44.611,127.327,0.354
-44.611,127.595,0.355
-44.611,127.863,0.356
-44.611,128.131,0.357
-44.611,128.399,0.357
-44.611,128.667,0.357
-44.611,128.935,0.357
-44.611,129.203,0.358
-44.611,129.471,0.358
-44.611,129.739,0.358
-44.611,130.007,0.358
-44.611,130.276,0.358
-44.611,130.544,0.358
-44.611,130.812,0.358
-44.611,131.08,0.358
-44.611,131.348,0.358
-44.611,131.616,0.358
-44.611,131.884,0.358
-44.611,132.152,0.357
-44.611,132.42,0.357
-44.611,132.688,0.356
-44.611,132.956,0.356
-44.611,133.224,0.355
-44.611,133.492,0.355
-44.611,133.76,0.354
-44.611,134.028,0.352
-44.611,134.296,0.35
-44.611,134.564,0.348
-44.611,134.832,0.345
-44.611,135.101,0.343
-44.611,135.369,0.341
-44.611,135.637,0.338
-44.611,135.905,0.334
-44.611,136.173,0.329
-44.611,136.441,0.324
-44.611,136.709,0.319
-44.611,136.977,0.314
-44.611,137.245,0.309
-44.611,137.513,0.304
-44.611,137.781,0.299
-44.611,138.049,0.294
-44.611,138.317,0.289
-44.611,138.585,0.285
-44.611,138.853,0.28
-44.611,139.121,0.275
-44.611,139.389,0.27
-44.611,139.657,0.269
-44.611,139.926,0.268
-44.611,140.194,0.268
-44.611,140.462,0.268
-44.611,140.73,0.268
-44.611,140.998,0.267
-44.611,141.266,0.267
-44.611,141.534,0.271
-44.611,141.802,0.277
-44.611,142.07,0.282
-44.611,142.338,0.288
-44.611,142.606,0.294
-44.611,142.874,0.3
-44.611,143.142,0.306
-44.611,143.41,0.313
-44.611,143.678,0.321
-44.611,143.946,0.329
-44.611,144.214,0.338
-44.611,144.483,0.346
-44.611,144.751,0.354
-44.611,145.019,0.362
-44.611,145.287,0.37
-44.611,145.555,0.379
-44.611,145.823,0.387
-44.611,146.091,0.395
-44.611,146.359,0.404
-44.611,146.627,0.412
-44.611,146.895,0.42
-44.611,147.163,0.429
-44.611,147.431,0.439
-44.611,147.699,0.449
-44.611,147.967,0.459
-44.611,148.235,0.469
-44.611,148.503,0.479
-44.611,148.771,0.489
-44.611,149.039,0.498
-44.611,149.308,0.504
-44.611,149.576,0.511
-44.611,149.844,0.517
-44.611,150.112,0.524
-44.611,150.38,0.531
-44.611,150.648,0.537
-44.611,150.916,0.54
-44.611,151.184,0.539
-44.611,151.452,0.538
-44.611,151.72,0.536
-44.611,151.988,0.535
-44.611,152.256,0.534
-44.611,152.524,0.533
-44.611,152.792,0.529
-44.611,153.06,0.523
-44.611,153.328,0.516
-44.611,153.596,0.51
-44.611,153.864,0.503
-44.611,154.133,0.497
-44.611,154.401,0.49
-44.611,154.669,0.484
-44.611,154.937,0.479
-44.611,155.205,0.474
-44.611,155.473,0.468
-44.611,155.741,0.463
-44.301,110.171,0.367
-44.301,110.439,0.367
-44.301,110.707,0.366
-44.301,110.975,0.366
-44.301,111.243,0.365
-44.301,111.512,0.364
-44.301,111.78,0.363
-44.301,112.048,0.363
-44.301,112.316,0.362
-44.301,112.584,0.361
-44.301,112.852,0.36
-44.301,113.12,0.359
-44.301,113.388,0.359
-44.301,113.656,0.358
-44.301,113.924,0.358
-44.301,114.192,0.357
-44.301,114.46,0.357
-44.301,114.728,0.356
-44.301,114.996,0.356
-44.301,115.264,0.355
-44.301,115.532,0.354
-44.301,115.8,0.354
-44.301,116.069,0.353
-44.301,116.337,0.352
-44.301,116.605,0.352
-44.301,116.873,0.351
-44.301,117.141,0.35
-44.301,117.409,0.349
-44.301,117.677,0.349
-44.301,117.945,0.348
-44.301,118.213,0.347
-44.301,118.481,0.346
-44.301,118.749,0.346
-44.301,119.017,0.345
-44.301,119.285,0.345
-44.301,119.553,0.345
-44.301,119.821,0.344
-44.301,120.089,0.344
-44.301,120.357,0.344
-44.301,120.625,0.343
-44.301,120.894,0.343
-44.301,121.162,0.344
-44.301,121.43,0.344
-44.301,121.698,0.344
-44.301,121.966,0.344
-44.301,122.234,0.344
-44.301,122.502,0.344
-44.301,122.77,0.345
-44.301,123.038,0.345
-44.301,123.306,0.346
-44.301,123.574,0.347
-44.301,123.842,0.347
-44.301,124.11,0.348
-44.301,124.378,0.348
-44.301,124.646,0.349
-44.301,124.914,0.35
-44.301,125.182,0.35
-44.301,125.45,0.351
-44.301,125.719,0.352
-44.301,125.987,0.353
-44.301,126.255,0.353
-44.301,126.523,0.354
-44.301,126.791,0.355
-44.301,127.059,0.356
-44.301,127.327,0.357
-44.301,127.595,0.358
-44.301,127.863,0.359
-44.301,128.131,0.359
-44.301,128.399,0.36
-44.301,128.667,0.36
-44.301,128.935,0.361
-44.301,129.203,0.361
-44.301,129.471,0.362
-44.301,129.739,0.362
-44.301,130.007,0.362
-44.301,130.276,0.362
-44.301,130.544,0.363
-44.301,130.812,0.363
-44.301,131.08,0.363
-44.301,131.348,0.363
-44.301,131.616,0.363
-44.301,131.884,0.363
-44.301,132.152,0.362
-44.301,132.42,0.362
-44.301,132.688,0.362
-44.301,132.956,0.361
-44.301,133.224,0.361
-44.301,133.492,0.36
-44.301,133.76,0.36
-44.301,134.028,0.358
-44.301,134.296,0.355
-44.301,134.564,0.352
-44.301,134.832,0.349
-44.301,135.101,0.347
-44.301,135.369,0.344
-44.301,135.637,0.341
-44.301,135.905,0.336
-44.301,136.173,0.33
-44.301,136.441,0.324
-44.301,136.709,0.317
-44.301,136.977,0.311
-44.301,137.245,0.305
-44.301,137.513,0.299
-44.301,137.781,0.294
-44.301,138.049,0.288
-44.301,138.317,0.283
-44.301,138.585,0.278
-44.301,138.853,0.273
-44.301,139.121,0.268
-44.301,139.389,0.262
-44.301,139.657,0.261
-44.301,139.926,0.261
-44.301,140.194,0.261
-44.301,140.462,0.261
-44.301,140.73,0.262
-44.301,140.998,0.262
-44.301,141.266,0.262
-44.301,141.534,0.266
-44.301,141.802,0.272
-44.301,142.07,0.277
-44.301,142.338,0.283
-44.301,142.606,0.289
-44.301,142.874,0.294
-44.301,143.142,0.3
-44.301,143.41,0.307
-44.301,143.678,0.315
-44.301,143.946,0.322
-44.301,144.214,0.33
-44.301,144.483,0.337
-44.301,144.751,0.345
-44.301,145.019,0.352
-44.301,145.287,0.36
-44.301,145.555,0.368
-44.301,145.823,0.377
-44.301,146.091,0.385
-44.301,146.359,0.393
-44.301,146.627,0.401
-44.301,146.895,0.41
-44.301,147.163,0.419
-44.301,147.431,0.43
-44.301,147.699,0.441
-44.301,147.967,0.451
-44.301,148.235,0.462
-44.301,148.503,0.473
-44.301,148.771,0.483
-44.301,149.039,0.492
-44.301,149.308,0.5
-44.301,149.576,0.507
-44.301,149.844,0.514
-44.301,150.112,0.522
-44.301,150.38,0.529
-44.301,150.648,0.536
-44.301,150.916,0.54
-44.301,151.184,0.539
-44.301,151.452,0.538
-44.301,151.72,0.538
-44.301,151.988,0.537
-44.301,152.256,0.536
-44.301,152.524,0.536
-44.301,152.792,0.533
-44.301,153.06,0.526
-44.301,153.328,0.52
-44.301,153.596,0.513
-44.301,153.864,0.507
-44.301,154.133,0.501
-44.301,154.401,0.494
-44.301,154.669,0.488
-44.301,154.937,0.483
-44.301,155.205,0.477
-44.301,155.473,0.472
-44.301,155.741,0.466
-43.99,110.171,0.363
-43.99,110.439,0.362
-43.99,110.707,0.362
-43.99,110.975,0.361
-43.99,111.243,0.361
-43.99,111.512,0.36
-43.99,111.78,0.359
-43.99,112.048,0.359
-43.99,112.316,0.358
-43.99,112.584,0.357
-43.99,112.852,0.357
-43.99,113.12,0.356
-43.99,113.388,0.356
-43.99,113.656,0.355
-43.99,113.924,0.355
-43.99,114.192,0.354
-43.99,114.46,0.354
-43.99,114.728,0.354
-43.99,114.996,0.353
-43.99,115.264,0.352
-43.99,115.532,0.352
-43.99,115.8,0.351
-43.99,116.069,0.351
-43.99,116.337,0.35
-43.99,116.605,0.35
-43.99,116.873,0.349
-43.99,117.141,0.348
-43.99,117.409,0.348
-43.99,117.677,0.347
-43.99,117.945,0.347
-43.99,118.213,0.346
-43.99,118.481,0.346
-43.99,118.749,0.345
-43.99,119.017,0.345
-43.99,119.285,0.345
-43.99,119.553,0.345
-43.99,119.821,0.345
-43.99,120.089,0.344
-43.99,120.357,0.344
-43.99,120.625,0.344
-43.99,120.894,0.345
-43.99,121.162,0.345
-43.99,121.43,0.345
-43.99,121.698,0.346
-43.99,121.966,0.346
-43.99,122.234,0.347
-43.99,122.502,0.347
-43.99,122.77,0.347
-43.99,123.038,0.348
-43.99,123.306,0.348
-43.99,123.574,0.349
-43.99,123.842,0.349
-43.99,124.11,0.35
-43.99,124.378,0.35
-43.99,124.646,0.351
-43.99,124.914,0.352
-43.99,125.182,0.353
-43.99,125.45,0.354
-43.99,125.719,0.354
-43.99,125.987,0.355
-43.99,126.255,0.356
-43.99,126.523,0.357
-43.99,126.791,0.358
-43.99,127.059,0.359
-43.99,127.327,0.36
-43.99,127.595,0.36
-43.99,127.863,0.361
-43.99,128.131,0.362
-43.99,128.399,0.363
-43.99,128.667,0.363
-43.99,128.935,0.364
-43.99,129.203,0.365
-43.99,129.471,0.365
-43.99,129.739,0.366
-43.99,130.007,0.366
-43.99,130.276,0.367
-43.99,130.544,0.367
-43.99,130.812,0.367
-43.99,131.08,0.367
-43.99,131.348,0.367
-43.99,131.616,0.368
-43.99,131.884,0.368
-43.99,132.152,0.368
-43.99,132.42,0.367
-43.99,132.688,0.367
-43.99,132.956,0.366
-43.99,133.224,0.366
-43.99,133.492,0.366
-43.99,133.76,0.365
-43.99,134.028,0.363
-43.99,134.296,0.36
-43.99,134.564,0.356
-43.99,134.832,0.353
-43.99,135.101,0.35
-43.99,135.369,0.347
-43.99,135.637,0.344
-43.99,135.905,0.338
-43.99,136.173,0.331
-43.99,136.441,0.323
-43.99,136.709,0.316
-43.99,136.977,0.309
-43.99,137.245,0.302
-43.99,137.513,0.295
-43.99,137.781,0.289
-43.99,138.049,0.283
-43.99,138.317,0.277
-43.99,138.585,0.271
-43.99,138.853,0.266
-43.99,139.121,0.26
-43.99,139.389,0.254
-43.99,139.657,0.253
-43.99,139.926,0.254
-43.99,140.194,0.254
-43.99,140.462,0.255
-43.99,140.73,0.256
-43.99,140.998,0.256
-43.99,141.266,0.257
-43.99,141.534,0.261
-43.99,141.802,0.266
-43.99,142.07,0.272
-43.99,142.338,0.278
-43.99,142.606,0.283
-43.99,142.874,0.289
-43.99,143.142,0.295
-43.99,143.41,0.301
-43.99,143.678,0.308
-43.99,143.946,0.315
-43.99,144.214,0.322
-43.99,144.483,0.329
-43.99,144.751,0.336
-43.99,145.019,0.342
-43.99,145.287,0.35
-43.99,145.555,0.358
-43.99,145.823,0.366
-43.99,146.091,0.375
-43.99,146.359,0.383
-43.99,146.627,0.391
-43.99,146.895,0.399
-43.99,147.163,0.409
-43.99,147.431,0.42
-43.99,147.699,0.432
-43.99,147.967,0.443
-43.99,148.235,0.455
-43.99,148.503,0.466
-43.99,148.771,0.478
-43.99,149.039,0.487
-43.99,149.308,0.495
-43.99,149.576,0.503
-43.99,149.844,0.511
-43.99,150.112,0.519
-43.99,150.38,0.527
-43.99,150.648,0.535
-43.99,150.916,0.539
-43.99,151.184,0.539
-43.99,151.452,0.539
-43.99,151.72,0.539
-43.99,151.988,0.539
-43.99,152.256,0.539
-43.99,152.524,0.539
-43.99,152.792,0.536
-43.99,153.06,0.53
-43.99,153.328,0.523
-43.99,153.596,0.517
-43.99,153.864,0.511
-43.99,154.133,0.504
-43.99,154.401,0.498
-43.99,154.669,0.492
-43.99,154.937,0.486
-43.99,155.205,0.481
-43.99,155.473,0.475
-43.99,155.741,0.469
-43.679,110.171,0.359
-43.679,110.439,0.358
-43.679,110.707,0.358
-43.679,110.975,0.357
-43.679,111.243,0.357
-43.679,111.512,0.356
-43.679,111.78,0.356
-43.679,112.048,0.355
-43.679,112.316,0.355
-43.679,112.584,0.354
-43.679,112.852,0.354
-43.679,113.12,0.354
-43.679,113.388,0.353
-43.679,113.656,0.353
-43.679,113.924,0.353
-43.679,114.192,0.352
-43.679,114.46,0.352
-43.679,114.728,0.352
-43.679,114.996,0.351
-43.679,115.264,0.351
-43.679,115.532,0.35
-43.679,115.8,0.35
-43.679,116.069,0.349
-43.679,116.337,0.349
-43.679,116.605,0.348
-43.679,116.873,0.348
-43.679,117.141,0.347
-43.679,117.409,0.347
-43.679,117.677,0.347
-43.679,117.945,0.346
-43.679,118.213,0.346
-43.679,118.481,0.346
-43.679,118.749,0.345
-43.679,119.017,0.345
-43.679,119.285,0.345
-43.679,119.553,0.345
-43.679,119.821,0.345
-43.679,120.089,0.345
-43.679,120.357,0.345
-43.679,120.625,0.345
-43.679,120.894,0.346
-43.679,121.162,0.347
-43.679,121.43,0.347
-43.679,121.698,0.348
-43.679,121.966,0.348
-43.679,122.234,0.349
-43.679,122.502,0.349
-43.679,122.77,0.35
-43.679,123.038,0.35
-43.679,123.306,0.351
-43.679,123.574,0.351
-43.679,123.842,0.352
-43.679,124.11,0.352
-43.679,124.378,0.353
-43.679,124.646,0.354
-43.679,124.914,0.354
-43.679,125.182,0.355
-43.679,125.45,0.356
-43.679,125.719,0.357
-43.679,125.987,0.358
-43.679,126.255,0.359
-43.679,126.523,0.36
-43.679,126.791,0.361
-43.679,127.059,0.362
-43.679,127.327,0.363
-43.679,127.595,0.364
-43.679,127.863,0.365
-43.679,128.131,0.366
-43.679,128.399,0.366
-43.679,128.667,0.367
-43.679,128.935,0.368
-43.679,129.203,0.368
-43.679,129.471,0.369
-43.679,129.739,0.37
-43.679,130.007,0.371
-43.679,130.276,0.371
-43.679,130.544,0.371
-43.679,130.812,0.372
-43.679,131.08,0.372
-43.679,131.348,0.373
-43.679,131.616,0.373
-43.679,131.884,0.373
-43.679,132.152,0.373
-43.679,132.42,0.373
-43.679,132.688,0.372
-43.679,132.956,0.372
-43.679,133.224,0.371
-43.679,133.492,0.371
-43.679,133.76,0.371
-43.679,134.028,0.368
-43.679,134.296,0.364
-43.679,134.564,0.36
-43.679,134.832,0.357
-43.679,135.101,0.353
-43.679,135.369,0.35
-43.679,135.637,0.346
-43.679,135.905,0.339
-43.679,136.173,0.331
-43.679,136.441,0.323
-43.679,136.709,0.314
-43.679,136.977,0.306
-43.679,137.245,0.298
-43.679,137.513,0.29
-43.679,137.781,0.283
-43.679,138.049,0.277
-43.679,138.317,0.271
-43.679,138.585,0.265
-43.679,138.853,0.259
-43.679,139.121,0.253
-43.679,139.389,0.247
-43.679,139.657,0.246
-43.679,139.926,0.247
-43.679,140.194,0.248
-43.679,140.462,0.249
-43.679,140.73,0.25
-43.679,140.998,0.251
-43.679,141.266,0.253
-43.679,141.534,0.256
-43.679,141.802,0.262
-43.679,142.07,0.268
-43.679,142.338,0.273
