Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,087031,1954,09,6.0,Y
IDCJAC0004,087031,1954,10,8.2,Y
IDCJAC0004,087031,1954,11,9.7,Y
IDCJAC0004,087031,1954,12,12.4,Y
IDCJAC0004,087031,1955,01,14.1,Y
IDCJAC0004,087031,1955,02,15.6,Y
IDCJAC0004,087031,1955,03,12.5,Y
IDCJAC0004,087031,1955,04,9.2,Y
IDCJAC0004,087031,1955,05,6.7,Y
IDCJAC0004,087031,1955,06,5.4,Y
IDCJAC0004,087031,1955,07,5.4,Y
IDCJAC0004,087031,1955,08,6.5,Y
IDCJAC0004,087031,1955,09,6.6,Y
IDCJAC0004,087031,1955,10,8.2,Y
IDCJAC0004,087031,1955,11,7.8,Y
IDCJAC0004,087031,1955,12,11.4,Y
IDCJAC0004,087031,1956,01,13.0,Y
IDCJAC0004,087031,1956,02,16.0,Y
IDCJAC0004,087031,1956,03,15.1,Y
IDCJAC0004,087031,1956,04,10.5,Y
IDCJAC0004,087031,1956,05,8.0,Y
IDCJAC0004,087031,1956,06,5.3,Y
IDCJAC0004,087031,1956,07,5.3,Y
IDCJAC0004,087031,1956,08,3.9,Y
IDCJAC0004,087031,1956,09,6.1,Y
IDCJAC0004,087031,1956,10,7.4,Y
IDCJAC0004,087031,1956,11,7.9,Y
IDCJAC0004,087031,1956,12,9.3,Y
IDCJAC0004,087031,1957,01,9.7,Y
IDCJAC0004,087031,1957,02,12.8,Y
IDCJAC0004,087031,1957,03,10.7,Y
IDCJAC0004,087031,1957,04,8.8,Y
IDCJAC0004,087031,1957,05,7.1,Y
IDCJAC0004,087031,1957,06,8.5,Y
IDCJAC0004,087031,1957,07,4.2,Y
IDCJAC0004,087031,1957,08,4.5,Y
IDCJAC0004,087031,1957,09,5.6,Y
IDCJAC0004,087031,1957,10,7.9,Y
IDCJAC0004,087031,1957,11,8.4,Y
IDCJAC0004,087031,1957,12,11.3,Y
IDCJAC0004,087031,1958,01,12.0,Y
IDCJAC0004,087031,1958,02,13.2,Y
IDCJAC0004,087031,1958,03,12.2,Y
IDCJAC0004,087031,1958,04,8.6,Y
IDCJAC0004,087031,1958,05,9.4,Y
IDCJAC0004,087031,1958,06,4.9,Y
IDCJAC0004,087031,1958,07,4.9,Y
IDCJAC0004,087031,1958,08,6.1,Y
IDCJAC0004,087031,1958,09,5.6,Y
IDCJAC0004,087031,1958,10,7.8,Y
IDCJAC0004,087031,1958,11,10.8,Y
IDCJAC0004,087031,1958,12,11.1,Y
IDCJAC0004,087031,1959,01,14.9,Y
IDCJAC0004,087031,1959,02,14.8,Y
IDCJAC0004,087031,1959,03,13.2,Y
IDCJAC0004,087031,1959,04,9.5,Y
IDCJAC0004,087031,1959,05,5.7,Y
IDCJAC0004,087031,1959,06,5.5,Y
IDCJAC0004,087031,1959,07,5.0,Y
IDCJAC0004,087031,1959,08,5.7,Y
IDCJAC0004,087031,1959,09,6.1,Y
IDCJAC0004,087031,1959,10,8.3,Y
IDCJAC0004,087031,1959,11,11.7,Y
IDCJAC0004,087031,1959,12,11.2,Y
IDCJAC0004,087031,1960,01,14.9,Y
IDCJAC0004,087031,1960,02,12.7,Y
IDCJAC0004,087031,1960,03,12.8,Y
IDCJAC0004,087031,1960,04,10.6,Y
IDCJAC0004,087031,1960,05,7.1,Y
IDCJAC0004,087031,1960,06,5.4,Y
IDCJAC0004,087031,1960,07,5.0,Y
IDCJAC0004,087031,1960,08,4.3,Y
IDCJAC0004,087031,1960,09,7.5,Y
IDCJAC0004,087031,1960,10,8.4,Y
IDCJAC0004,087031,1960,11,7.9,Y
IDCJAC0004,087031,1960,12,13.0,Y
IDCJAC0004,087031,1961,01,15.3,Y
IDCJAC0004,087031,1961,02,14.7,Y
IDCJAC0004,087031,1961,03,12.1,Y
IDCJAC0004,087031,1961,04,10.5,Y
IDCJAC0004,087031,1961,05,6.6,Y
IDCJAC0004,087031,1961,06,6.7,Y
IDCJAC0004,087031,1961,07,5.3,Y
IDCJAC0004,087031,1961,08,5.7,Y
IDCJAC0004,087031,1961,09,5.9,Y
IDCJAC0004,087031,1961,10,8.8,Y
IDCJAC0004,087031,1961,11,10.6,Y
IDCJAC0004,087031,1961,12,12.8,Y
IDCJAC0004,087031,1962,01,14.4,Y
IDCJAC0004,087031,1962,02,12.8,Y
IDCJAC0004,087031,1962,03,13.1,Y
IDCJAC0004,087031,1962,04,10.1,Y
IDCJAC0004,087031,1962,05,7.1,Y
IDCJAC0004,087031,1962,06,7.1,Y
IDCJAC0004,087031,1962,07,4.8,Y
IDCJAC0004,087031,1962,08,4.8,Y
IDCJAC0004,087031,1962,09,6.4,Y
IDCJAC0004,087031,1962,10,6.7,Y
IDCJAC0004,087031,1962,11,8.8,Y
IDCJAC0004,087031,1962,12,12.8,Y
IDCJAC0004,087031,1963,01,14.3,Y
IDCJAC0004,087031,1963,02,13.1,Y
IDCJAC0004,087031,1963,03,12.2,Y
IDCJAC0004,087031,1963,04,7.8,Y
IDCJAC0004,087031,1963,05,9.2,Y
IDCJAC0004,087031,1963,06,5.9,Y
IDCJAC0004,087031,1963,07,4.6,Y
IDCJAC0004,087031,1963,08,5.5,Y
IDCJAC0004,087031,1963,09,7.4,Y
