Site Name,Lat,Lon,Model,Experiment,Year,Avg Ann CFFDI,DPY_HI,DPY_VH,"DPY_SEV",DPY_EXT,DPY_CAT,DPY_GE_HI,DPY_GE_VH,DPY_GE_SEV,DPY_GE_EXT
Meekatharra,-26.61,118.54,MIROC5,rcp85,2090,9029.62,102.3,127.57,32.3,3.23,0.1,265.5,163.2,35.63,3.33
Meekatharra,-26.61,118.54,OBS,historical,1995,8577.58,107.9,126.53,23.83,1.77,0.07,260.1,152.2,25.67,1.84
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2030,2678.93,38.63,14.73,3.2,0.53,0.03,57.12,18.49,3.76,0.56
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2050,2887.32,42.9,16.47,3.5,0.7,0.17,63.74,20.84,4.37,0.87
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2070,2914.83,43.57,16.6,3.63,0.8,0.2,64.8,21.23,4.63,1
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp45,2090,2988.51,44.57,17.27,3.9,0.83,0.2,66.77,22.2,4.93,1.03
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2030,2862.61,41.93,16.23,3.43,0.73,0.2,62.52,20.59,4.36,0.93
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2050,3057.05,45.4,17.73,3.9,1,0.27,68.3,22.9,5.17,1.27
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2070,3366,53.07,19.27,4.73,1.57,0.4,79.04,25.97,6.7,1.97
Melbourne-AP,-37.68,144.84,CESM1-CAM5,rcp85,2090,3624.09,58.57,21.23,5.43,1.8,0.6,87.63,29.06,7.83,2.4
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2030,3228,52.5,18.4,4.17,0.77,0.3,76.14,23.64,5.24,1.07
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2050,2873.79,42.9,16.03,3.7,0.63,0.1,63.36,20.46,4.43,0.73
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2070,3316.62,53.83,19.53,4.43,0.97,0.2,78.96,25.13,5.6,1.17
Melbourne-AP,-37.68,144.84,GFDL-ESM2M,rcp45,2090,2949.78,45.2,16.5,3.57,0.67,0.13,66.07,20.87,4.37,0.8
