year,reason,amount,state
2010-11,total,11310,Western Australia
2011-12,total,14500,Western Australia
2012-13,total,14570,Western Australia
2013-14,total,14070,Western Australia
2014-15,total,11520,Western Australia
2015-16,total,10720,Western Australia
2016-17,total,9310,Western Australia
2017-18,total,7520,Western Australia
2018-19,total,6590,Western Australia
2019-20,total,6000,Western Australia
2020-21,total,2910,Western Australia
2021-22,total,5950,Western Australia
2022-23(f),total,7990,Western Australia
2004-05,total,690,Tasmania
2005-06,total,670,Tasmania
2006-07,total,740,Tasmania
2007-08,total,760,Tasmania
2008-09,total,930,Tasmania
2009-10,total,980,Tasmania
2010-11,total,740,Tasmania
2011-12,total,830,Tasmania
2012-13,total,810,Tasmania
2013-14,total,1150,Tasmania
2014-15,total,670,Tasmania
2015-16,total,720,Tasmania
2016-17,total,1070,Tasmania
2017-18,total,1050,Tasmania
2018-19,total,1300,Tasmania
2019-20,total,1060,Tasmania
2020-21,total,260,Tasmania
2021-22,total,1000,Tasmania
2022-23(f),total,1240,Tasmania
2004-05,total,440,Northern Territory
2005-06,total,490,Northern Territory
2006-07,total,600,Northern Territory
2007-08,total,550,Northern Territory
2008-09,total,670,Northern Territory
2009-10,total,750,Northern Territory
2010-11,total,610,Northern Territory
2011-12,total,800,Northern Territory
2012-13,total,730,Northern Territory
2013-14,total,960,Northern Territory
2014-15,total,920,Northern Territory
2015-16,total,1000,Northern Territory
2016-17,total,1020,Northern Territory
2017-18,total,830,Northern Territory
2018-19,total,900,Northern Territory
2019-20,total,550,Northern Territory
2020-21,total,200,Northern Territory
2021-22,total,860,Northern Territory
2022-23(f),total,950,Northern Territory
2004-05,total,960,Australian Capital Territory
2005-06,total,1050,Australian Capital Territory
2006-07,total,960,Australian Capital Territory
2007-08,total,1200,Australian Capital Territory
2008-09,total,1450,Australian Capital Territory
2009-10,total,1330,Australian Capital Territory
2010-11,total,1100,Australian Capital Territory
2011-12,total,1700,Australian Capital Territory
2012-13,total,1340,Australian Capital Territory
2013-14,total,1730,Australian Capital Territory
2014-15,total,1810,Australian Capital Territory
2015-16,total,1420,Australian Capital Territory
2016-17,total,1520,Australian Capital Territory
2017-18,total,1390,Australian Capital Territory
2018-19,total,1270,Australian Capital Territory
2019-20,total,1020,Australian Capital Territory
2020-21,total,590,Australian Capital Territory
2021-22,total,1180,Australian Capital Territory
2022-23(f),total,1530,Australian Capital Territory
2004-05,total,81210,Australia
2005-06,total,89110,Australia
2006-07,total,96190,Australia
2007-08,total,98110,Australia
2008-09,total,99040,Australia
2009-10,total,90640,Australia
2010-11,total,80300,Australia
2011-12,total,87690,Australia
2012-13,total,86760,Australia
2013-14,total,94350,Australia
2014-15,total,91490,Australia
2015-16,total,90590,Australia
2016-17,total,106200,Australia
2017-18,total,87910,Australia
2018-19,total,85390,Australia
2019-20,total,70890,Australia
2020-21,total,36950,Australia
2021-22,total,71100,Australia
2022-23(g),total,79670,Australia
